id,title,stock,price,type_id,primaryProductId,image,url_key,categories,short_description,description,description_sin_stop_words,especificaciones_del_producto,especificaciones_del_producto_sin_stop_words,modo_de_uso,modo_de_uso_sin_stop_words,meta_title,meta_keyword,meta_description,category_names,marca,weight,acabado,beneficios,catquiz,clasificacion,cobertura,created_at,country_of_manufacture,color_family,color,cyber,descuento,formato,highlights,ingredientes,is_returnable,news,preocupacion,product_label,status,subcatquiz,tipo_de_piel,tipo_de_punta,tipo_esmalte,zona_de_aplicacion
,,,,,,,,Season > Pure Beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CYBER > Hasta 30% dcto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sale > Beauty Offers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > Black Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II-35348,Shampoo Hidratante Anti-Frizz 400 ml,27,10990,PRIMARY,,https://dbs.cl/media/catalog/product/cache/cf140414c54a2d940638d4d8ea32b853/i/n/insight-ii-35348_1.jpg,https://dbs.cl/ii-35348-shampoo-hidratante-anti-frizz,Capilar > Shampoo,Shampoo para Cabello,"Shampoo con propiedades humectantes y desenredantes. Obtén un cabello más sedoso y brillante desde la primera aplicación. Controla el frizz, dejando el cabello increíblemente suave, brillante y manejable. Contiene extracto orgánico de Linaza + Phytocomplejo Anti-Frizz (Manteca de Cacao, Aceite de Algodón y Aceite de Cáñamo).","Shampoo propiedades humectantes desenredantes Obtén cabello sedoso brillante primera aplicación Controla frizz, dejando cabello increíblemente suave, brillante manejable Contiene extracto orgánico Linaza + Phytocomplejo Anti-Frizz Manteca Cacao, Aceite",Contenido: 400 ml | Tamaño: 7.2 cm largo x 7.2 cm ancho x 16.2 cm alto,Contenido: 400 ml | Tamaño: 7 2 cm largo x 7 2 cm ancho x 16 2 cm alto,"Aplicar en el cabello húmedo, distribuyéndolo homogéneamente. Masajea el cabello y enjuágalo con abundante agua.","Aplicar cabello húmedo, distribuyéndolo homogéneamente Masajea cabello enjuágalo abundante agua",Shampoo Hidratante Anti-Frizz 400 Ml | dbs.cl,"Shampoo, Insight",Shampoo Hidratante Anti-Frizz,"Shampoo,Capilar,Insight,Shop,DBS,Pure Beauty,Hasta 30% dcto,CYBER,Beauty Offers,Black Friday",INSIGHT,400 ml,,"Hidratación,Brillo",,"Vegana,Cruelty Free",,2020-05-18 02:56:11,IT,,01 Transparent,No,,Crema,"Antiedad,Antioxidante,Vegano,Cruelty free",,,No,"Opacidad,Frizz,Sequedad",,Habilitado,,,,,Cabello
,,,,,,,,Marcas > Insight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > DBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > Pure Beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CYBER > Hasta 30% dcto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sale > Beauty Offers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > Black Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
